t_hours,T_out_C,T_in_C,T_bed_avg_C
160.25,,,44.84181238458081
160.5,,,44.84079613807827
160.75,,,44.83977993005141
161.0,,,44.83876376049877
161.25,,,44.83774762941889
161.5,,,44.836731536810326
161.75,,,44.83571548267162
162.0,,,44.83469946700129
162.25,,,44.83368348979792
162.5,,,44.83266755106003
162.75,,,44.831651650786156
163.0,,,44.83063578897486
163.25,,,44.82961996562467
163.5,,,44.82860418073415
163.75,,,44.82758843430182
164.0,,,44.826572726326255
164.25,,,44.825557056805955
164.5,,,44.824541425739504
164.75,,,44.82352583312543
165.0,,,44.82251027896228
165.25,,,44.82149476324859
165.5,,,44.82047928598291
165.75,,,44.819463847163796
166.0,,,44.818448446789766
166.25,,,44.817433084859395
166.5,,,44.81641776137121
166.75,,,44.815402476323754
167.0,,,44.81438722971557
167.25,,,44.81337202154522
167.5,,,44.81235685181123
167.75,,,44.811341720512154
168.0,44.65132904483923,45.0,44.813686570808116
168.25,44.65517339379393,45.0,44.816005567437024
168.5,44.65880792932275,45.0,44.818300121417124
168.75,44.662255624804345,45.0,44.82057148926815
169.0,44.66553706766946,45.0,44.82282078905712
169.25,44.668670681989205,45.0,44.82504901494717
169.5,44.67167293511739,45.0,44.827257050356685
169.75,44.674558529075675,45.0,44.82944567983132
170.0,44.67734057733732,45.0,44.831615599727215
170.25,44.680030767634904,45.0,44.83376742779923
170.5,44.6826395113915,45.0,44.835901711784246
170.75,44.68517608035542,45.0,44.83801893706565
171.0,44.68764873100661,45.0,44.84011953350106
171.25,44.69006481729837,45.0,44.842203881492
171.5,44.692430892301395,45.0,44.844272317369835
171.75,44.694752799327425,45.0,44.846325138169064
172.0,44.6970357531256,45.0,44.848362605854376
172.25,44.69928441176501,45.0,44.850384951064484
172.5,44.70150293983962,45.0,44.85239237643073
172.75,44.70369506365504,45.0,44.85438505952463
173.0,44.705864119078136,45.0,44.856363155483656
173.25,44.7080130927488,45.0,44.85832679935979
173.5,44.71014465736544,45.0,44.860276108230806
173.75,44.71226120176114,45.0,44.86221118310935
174.0,44.714364856483876,45.0,44.86413211067988
174.25,44.716457515580906,45.0,44.86603896488918
174.5,44.718540855263406,45.0,44.86793180841133
174.75,44.720616350093074,45.0,44.86981069400382
175.0,44.72268528728712,45.0,44.87167566576746
175.25,44.724748779682955,45.0,44.873526760319145
175.5,44.72680777784027,45.0,44.87536400788308
175.75,44.72886308168689,45.0,44.87718743330394
176.0,,,44.87616984748164
176.25,,,44.875152300185725
176.5,,,44.87413479141475
