t_hours,T_bed_C,charge_kW,discharge_kW,loss_kW,T_supply_C
3530.0,41.17435524602216,0.0,0.0,0.6523519807878959,
3530.25,41.17347785156272,0.0,0.0,0.6523272823655464,
3530.5,41.17260049032195,0.0,0.0,0.6523025848782933,
3530.75,41.171723162298576,0.0,0.0,0.6522778883261013,
3531.0,41.17084586749135,0.0,0.0,0.6522531927089352,
3531.25,41.169968605899015,0.0,0.0,0.6522284980267593,
3531.5,41.1690913775203,0.0,0.0,0.6522038042795384,
3531.75,41.168214182353964,0.0,0.0,0.652179111467237,
3532.0,41.16733702039874,0.0,0.0,0.6521544195898196,
3532.25,41.166459891653375,0.0,0.0,0.6521297286472509,
3532.5,41.16558279611661,0.0,0.0,0.6521050386394955,
3532.75,41.16470573378719,0.0,0.0,0.6520803495665182,
3533.0,41.16382870466385,0.0,0.0,0.6520556614282833,
3533.25,41.16295170874535,0.0,0.0,0.6520309742247556,
3533.5,41.16207474603041,0.0,0.0,0.6520062879558998,
3533.75,41.16119781651779,0.0,0.0,0.6519816026216803,
3534.0,41.16032092020623,0.0,0.0,0.6519569182220617,
3534.25,41.15944405709447,0.0,0.0,0.651932234757009,
3534.5,41.15856722718125,0.0,0.0,0.6519075522264863,
3534.75,41.157690430465316,0.0,0.0,0.6518828706304586,
3535.0,41.15681366694541,0.0,0.0,0.6518581899688902,
3535.25,41.15593693662028,0.0,0.0,0.6518335102417459,
3535.5,41.15506023948866,0.0,0.0,0.6518088314489903,
3535.75,41.154183575549304,0.0,0.0,0.6517841535905881,
3536.0,41.15330694480095,0.0,0.0,0.6517594766665037,
3536.25,41.152430347242344,0.0,0.0,0.6517348006767021,
3536.5,41.15155378287223,0.0,0.0,0.6517101256211475,
3536.75,41.150677251689345,0.0,0.0,0.651685451499805,
3537.0,41.14980075369244,0.0,0.0,0.6516607783126388,
3537.25,41.14892428888025,0.0,0.0,0.6516361060596139,
3537.5,41.14804785725153,0.0,0.0,0.6516114347406947,
3537.75,41.147171458805005,0.0,0.0,0.6515867643558457,
3538.0,41.146295093539436,0.0,0.0,0.6515620949050317,
3538.25,41.14541876145356,0.0,0.0,0.6515374263882173,
3538.5,41.14454246254613,0.0,0.0,0.6515127588053673,
3538.75,41.14366619681587,0.0,0.0,0.6514880921564461,
3539.0,41.142789964261546,0.0,0.0,0.6514634264414185,
3539.25,41.14191376488189,0.0,0.0,0.6514387616602492,
3539.5,41.14103759867565,0.0,0.0,0.6514140978129027,
3539.75,41.14016146564157,0.0,0.0,0.6513894348993438,
3540.0,41.139285365778385,0.0,0.0,0.6513647729195369,
3540.25,41.13840929908485,0.0,0.0,0.6513401118734468,
3540.5,41.1375332655597,0.0,0.0,0.651315451761038,
3540.75,41.13665726520169,0.0,0.0,0.6512907925822756,
3541.0,41.13578129800956,0.0,0.0,0.6512661343371237,
3541.25,41.13490536398205,0.0,0.0,0.6512414770255472,
3541.5,41.13402946311791,0.0,0.0,0.6512168206475107,
3541.75,41.133153595415884,0.0,0.0,0.6511921652029792,
3542.0,41.132277760874715,0.0,0.0,0.6511675106919167,
